Date,Open,Close,High,Low
2016-02-15,142.0,145.0,146.5,142.0
2016-02-16,146.0,147.5,148.0,145.5
2016-02-17,149.0,148.0,149.0,147.0
2016-02-18,150.0,151.0,151.0,149.5
2016-02-19,149.0,151.0,151.0,149.0
2016-02-22,149.5,151.0,152.5,149.5
2016-02-23,150.5,149.5,151.0,149.0
2016-02-24,149.5,148.0,150.5,147.0
2016-02-25,149.0,150.5,151.0,148.5
2016-02-26,151.0,149.0,151.5,148.0
2016-03-01,148.5,152.0,152.0,148.5
2016-03-02,154.0,153.0,154.5,153.0
2016-03-03,154.0,154.0,154.5,153.0
2016-03-04,153.0,152.5,153.5,151.5
2016-03-07,152.5,152.0,153.5,151.0
2016-03-08,151.0,152.0,152.0,149.5
2016-03-09,152.0,153.0,153.0,150.5
2016-03-10,153.0,154.5,154.5,151.5
2016-03-11,154.5,155.0,155.0,153.0
2016-03-14,156.5,156.0,157.5,155.5
2016-03-15,155.0,154.5,156.5,153.0
2016-03-16,155.5,156.0,156.0,154.0
2016-03-17,159.5,158.5,160.0,157.5
2016-03-18,158.5,159.5,159.5,158.5
2016-03-21,160.0,160.0,160.0,158.0
2016-03-22,159.5,158.5,159.5,157.0
2016-03-23,158.5,159.5,159.5,158.0
2016-03-24,158.0,158.5,159.0,157.0
2016-03-25,158.5,158.0,159.0,157.0
2016-03-28,158.0,159.0,159.0,157.0
2016-03-29,158.5,159.0,159.5,158.0
2016-03-30,158.5,161.5,162.0,158.5
2016-03-31,162.0,162.0,163.0,159.0
2016-04-01,161.0,158.5,161.0,157.5
2016-04-06,155.5,153.5,156.0,153.5
2016-04-07,155.0,154.5,155.0,152.5
2016-04-08,154.0,157.5,158.0,154.0
2016-04-11,156.0,158.5,159.0,155.5
2016-04-12,157.5,158.5,159.5,157.5
2016-04-13,160.0,161.5,162.0,159.5
2016-04-14,162.0,161.5,162.5,160.0
2016-04-15,157.0,159.5,160.0,156.0
2016-04-18,158.0,158.0,158.5,157.5
2016-04-19,160.0,157.5,161.0,157.0
2016-04-20,157.5,154.0,158.0,154.0
2016-04-21,156.0,157.0,157.0,154.0
2016-04-22,155.5,156.5,158.0,155.0
2016-04-25,156.5,157.5,157.5,156.0
2016-04-26,156.5,158.0,158.5,156.5
2016-04-27,156.0,156.5,157.5,155.5
2016-04-28,157.5,153.0,158.0,153.0
2016-04-29,151.0,150.0,151.0,149.0
2016-05-03,148.0,147.5,148.5,146.5
2016-05-04,147.0,147.0,149.0,146.5
2016-05-05,147.5,147.5,148.5,146.0
2016-05-06,148.5,148.0,148.5,147.0
2016-05-09,148.5,147.5,149.0,146.5
2016-05-10,147.0,147.0,148.0,146.5
2016-05-11,148.5,147.0,149.0,146.5
2016-05-12,147.0,146.0,148.0,146.0
2016-05-13,145.0,144.0,145.5,143.0
2016-05-16,143.0,144.5,145.5,143.0
2016-05-17,145.5,147.0,147.0,145.0
2016-05-18,146.0,147.0,147.0,145.0
2016-05-19,148.0,147.0,148.5,145.5
2016-05-20,147.5,148.5,149.5,147.0
2016-05-23,150.5,154.0,154.5,149.5
2016-05-24,152.5,151.0,153.5,151.0
2016-05-25,153.5,154.5,155.0,152.5
2016-05-26,154.5,155.0,155.0,153.5
2016-05-27,156.0,156.5,156.5,154.5
2016-05-30,157.0,157.0,158.0,155.0
2016-05-31,156.5,156.5,157.5,155.0
2016-06-01,156.0,159.0,159.0,156.0
2016-06-02,159.0,159.0,160.0,158.0
2016-06-03,159.0,160.5,160.5,159.0
2016-06-04,160.0,160.0,160.0,159.5
2016-06-06,161.0,161.0,162.0,160.0
2016-06-07,161.5,162.0,163.5,161.0
2016-06-08,164.0,165.5,166.0,163.5
2016-06-13,161.0,162.0,162.5,161.0
2016-06-14,161.0,162.0,163.0,161.0
2016-06-15,162.0,163.0,163.0,161.0
2016-06-16,161.5,160.5,162.5,159.5
2016-06-17,162.5,163.0,164.5,162.0
2016-06-20,164.5,163.0,165.0,163.0
2016-06-21,164.0,165.5,165.5,163.5
2016-06-22,164.5,166.0,166.0,163.5
2016-06-23,165.5,164.0,166.0,164.0
2016-06-24,164.0,159.0,164.0,154.5
2016-06-27,154.5,155.5,156.0,154.0
2016-06-28,155.5,157.0,157.5,155.0
2016-06-29,158.5,159.0,160.0,158.0
2016-06-30,161.0,162.5,163.0,159.5
2016-07-01,164.5,166.0,166.0,163.5
2016-07-04,165.5,166.0,166.5,164.5
2016-07-05,165.0,164.0,165.5,164.0
2016-07-06,163.0,161.5,163.0,160.5
2016-07-07,163.5,164.5,165.0,163.0
2016-07-11,170.0,170.0,170.5,168.5
2016-07-12,171.0,171.0,171.5,169.5
2016-07-13,169.5,168.5,170.0,167.0
2016-07-14,167.0,169.0,170.0,167.0
2016-07-15,168.0,169.5,169.5,166.5
2016-07-18,168.0,169.5,170.0,168.0
2016-07-19,170.5,170.5,170.5,169.0
2016-07-20,170.0,170.0,170.5,169.0
2016-07-21,171.0,172.0,172.0,170.0
2016-07-22,172.0,171.0,172.0,170.5
2016-07-25,172.0,171.5,173.0,169.0
2016-07-26,172.0,173.0,173.0,171.5
2016-07-27,175.0,175.0,176.0,174.5
2016-07-28,175.0,176.5,176.5,173.0
2016-07-29,177.0,172.5,177.0,172.5
2016-07-30,164.5,166.0,166.0,163.5
2016-08-01,175.0,177.0,177.0,174.5
2016-08-02,177.5,176.0,177.5,175.5
2016-08-03,172.5,172.5,174.0,172.0
2016-08-04,173.0,174.5,174.5,172.5
2016-08-05,175.0,177.0,177.5,174.0
2016-08-08,178.0,178.0,178.0,176.5
2016-08-09,178.5,178.5,179.5,177.0
2016-08-10,179.0,179.5,179.5,178.0
2016-08-11,177.5,176.5,178.0,175.5
2016-08-12,178.5,177.5,178.5,177.0
2016-08-15,178.5,179.0,179.0,177.5
2016-08-16,178.0,175.5,179.0,175.0
2016-08-17,177.0,177.0,177.5,176.0
2016-08-18,176.0,176.0,176.5,175.0
2016-08-19,177.0,174.5,177.5,174.0
2016-08-22,173.0,173.0,174.0,171.5
2016-08-23,174.0,174.0,175.0,173.5
2016-08-24,175.0,173.5,175.5,173.5
2016-08-25,175.0,177.0,177.0,174.5
2016-08-26,175.0,177.0,177.0,175.0
2016-08-29,175.0,176.5,177.0,174.0
2016-08-30,176.0,174.5,176.5,174.0
2016-08-31,176.5,176.0,177.0,174.5
2016-09-01,176.0,173.5,176.0,173.0
2016-09-02,176.5,174.5,176.5,174.0
2016-09-05,176.5,176.5,177.5,176.5
2016-09-06,177.0,179.0,179.0,176.5
2016-09-07,180.5,184.0,185.0,180.0
2016-09-08,182.5,183.0,184.5,182.5
2016-09-09,181.0,179.5,181.0,179.5
2016-09-10,177.0,178.0,179.0,176.0
2016-09-12,177.5,175.0,177.5,174.0
2016-09-13,176.5,175.0,176.5,173.5
2016-09-14,174.0,173.5,176.0,173.5
2016-09-19,179.5,182.5,183.0,178.5
2016-09-20,182.0,183.0,183.5,181.5
2016-09-21,181.0,184.0,184.0,180.5
2016-09-22,185.0,185.5,185.5,183.5
2016-09-23,185.0,187.5,187.5,184.5
2016-09-26,183.5,183.0,185.0,183.0
2016-09-29,185.5,185.5,187.5,185.5
2016-09-30,185.5,182.5,186.5,182.5
2016-10-03,186.0,186.0,186.5,184.5
2016-10-04,185.0,187.0,187.0,185.0
2016-10-05,186.0,186.0,186.0,184.5
2016-10-06,185.0,187.5,187.5,185.0
2016-10-07,188.0,188.0,188.0,186.0
2016-10-11,191.0,187.5,191.0,186.0
2016-10-12,186.5,189.5,190.0,186.0
2016-10-13,190.5,188.5,191.0,187.0
2016-10-14,187.0,188.0,189.0,186.5
2016-10-17,186.5,186.5,187.5,185.0
2016-10-18,186.5,187.0,187.0,185.5
2016-10-19,187.5,189.5,189.5,187.5
2016-10-20,189.5,190.5,190.5,189.0
2016-10-21,191.0,188.5,192.0,188.5
2016-10-24,191.0,191.0,191.0,189.5
2016-10-25,192.0,193.0,193.0,191.0
2016-10-26,190.5,191.5,192.5,190.5
2016-10-27,191.5,188.5,191.5,188.5
2016-10-28,189.5,189.5,190.0,188.5
2016-10-31,189.0,188.5,190.5,186.5
2016-11-01,188.5,189.5,189.5,187.5
2016-11-02,187.5,186.0,188.0,186.0
